2020-11-11,娱乐,Test,-30.0
2020-11-11,医疗,Test,-0.0
2020-11-11,其他,Test,-0.0
2020-11-11,收入,Test,0.0
2020-11-12,餐饮,Test,-28.8
2020-11-12,生活,Test,-5.0
2020-11-12,学习,Test,0
2020-11-12,娱乐,Test,-0.0
2020-11-12,医疗,Test,-0.0
2020-11-12,其他,Test,-0.0
2020-11-12,收入,Test,254.29
2020-11-13,餐饮,Test,-26.0
2020-11-13,生活,Test,-0.0
2020-11-13,学习,Test,0
2020-11-13,娱乐,Test,-0.0
2020-11-13,医疗,Test,-0.0
2020-11-13,其他,Test,-60.0
2020-11-13,收入,Test,50.0
2020-11-14,餐饮,Test,-14.5
2020-11-14,生活,Test,-10.5
2020-11-14,学习,Test,0
2020-11-14,娱乐,Test,-0.0
2020-11-14,医疗,Test,-0.0
2020-11-14,其他,Test,-0.0
2020-11-14,收入,Test,50.0
2020-11-15,餐饮,Test,-15.5
2020-11-15,生活,Test,-9.2
2020-11-15,学习,Test,0
2020-11-15,娱乐,Test,-0.0
2020-11-15,医疗,Test,-0.0
2020-11-15,其他,Test,-0.0
2020-11-15,收入,Test,50.0
2020-11-16,餐饮,Test,-32.7
2020-11-16,生活,Test,-5.6
2020-11-16,学习,Test,0
2020-11-16,娱乐,Test,-0.0
2020-11-16,医疗,Test,-0.0
2020-11-16,其他,Test,-0.0
2020-11-16,收入,Test,50.0
2020-11-17,餐饮,Test,-31.5
2020-11-17,生活,Test,-12.0
2020-11-17,学习,Test,0
2020-11-17,娱乐,Test,-0.0
2020-11-17,医疗,Test,-0.0
2020-11-17,其他,Test,-0.0
2020-11-17,收入,Test,50.0
2020-11-18,餐饮,Test,-28.0
2020-11-18,生活,Test,-0.0
2020-11-18,学习,Test,0
2020-11-18,娱乐,Test,-0.0
2020-11-18,医疗,Test,-0.0
2020-11-18,其他,Test,-0.0
2020-11-18,收入,Test,50.0
2020-11-19,餐饮,Test,-24.0
2020-11-19,生活,Test,-4.7
2020-11-19,学习,Test,0
2020-11-19,娱乐,Test,-0.0
2020-11-19,医疗,Test,-0.0
2020-11-19,其他,Test,-0.0
2020-11-19,收入,Test,50.0
2020-11-20,餐饮,Test,-37.0
2020-11-20,生活,Test,-2.8
2020-11-20,学习,Test,0
2020-11-20,娱乐,Test,-0.0
2020-11-20,医疗,Test,-0.0
2020-11-20,其他,Test,-0.0
2020-11-20,收入,Test,50.0
2020-11-21,餐饮,Test,-26.5
2020-11-21,生活,Test,-0.0
2020-11-21,学习,Test,0
2020-11-21,娱乐,Test,-0.0
2020-11-21,医疗,Test,-0.0
2020-11-21,其他,Test,-0.0
2020-11-21,收入,Test,50.0
2020-11-22,餐饮,Test,-20.0
2020-11-22,生活,Test,-0.0
2020-11-22,学习,Test,0
2020-11-22,娱乐,Test,-0.0
2020-11-22,医疗,Test,-0.0
2020-11-22,其他,Test,-0.0
2020-11-22,收入,Test,50.0
2020-11-23,餐饮,Test,-39.0
2020-11-23,生活,Test,-11.8
2020-11-23,学习,Test,0
2020-11-23,娱乐,Test,-0.0
2020-11-23,医疗,Test,-0.0
2020-11-23,其他,Test,-0.0
2020-11-23,收入,Test,50.0
2020-11-24,餐饮,Test,-35.5
2020-11-24,生活,Test,-7.8
2020-11-24,学习,Test,0
2020-11-24,娱乐,Test,-0.0
2020-11-24,医疗,Test,-0.0
2020-11-24,其他,Test,-0.0
2020-11-24,收入,Test,50.0
2020-11-25,餐饮,Test,-26.0
2020-11-25,生活,Test,-59.9
2020-11-25,学习,Test,0
2020-11-25,娱乐,Test,-0.0
2020-11-25,医疗,Test,-0.0
2020-11-25,其他,Test,-10.0
2020-11-25,收入,Test,50.0
2020-11-26,餐饮,Test,-21.0
2020-11-26,生活,Test,-0.0
2020-11-26,学习,Test,0
2020-11-26,娱乐,Test,-0.0
2020-11-26,医疗,Test,-0.0
2020-11-26,其他,Test,-0.0
2020-11-26,收入,Test,50.0
2020-11-27,餐饮,Test,-36.7
2020-11-27,生活,Test,-2.8
2020-11-27,学习,Test,0
2020-11-27,娱乐,Test,-0.0
2020-11-27,医疗,Test,-0.0
2020-11-27,其他,Test,-47.36
2020-11-27,收入,Test,150.0
2020-11-28,餐饮,Test,-25.5
2020-11-28,生活,Test,-0.0
2020-11-28,学习,Test,0
2020-11-28,娱乐,Test,-0.0
2020-11-28,医疗,Test,-0.0
2020-11-28,其他,Test,-0.0
2020-11-28,收入,Test,50.0
